firstName,lastName,slotName,teamName
Isaiah,Livers,W,Detroit Pistons
Eugene,Omoruyi,W,Washington Wizards
Usman,Garuba,W,Oklahoma City Thunder
Daishen,Nix,G,
Daniel,Theis,B,Indiana Pacers
Jason,Preston,G,Los Angeles Clippers
Nicolas,Batum,W,Los Angeles Clippers
Brandon,Boston Jr.,G,Los Angeles Clippers
Amir,Coffey,G,Los Angeles Clippers
Cole,Swider,W,Los Angeles Lakers
Shaquille,Harrison,G,
Jake,LaRavia,W,Memphis Grizzlies
Kenneth,Lofton,W,Memphis Grizzlies
Vince,Williams,G,Memphis Grizzlies
Haywood,Highsmith,W,Miami Heat
Lindell,Wigginton,G,Milwaukee Bucks
Nathan,Knight,W,Minnesota Timberwolves
Josh,Minott,W,Minnesota Timberwolves
Wendell,Moore,G,Minnesota Timberwolves
Willy,Hernangomez,B,New Orleans Pelicans
E.J.,Liddell,W,New Orleans Pelicans
Kira,Lewis,G,New Orleans Pelicans
Naji,Marshall,W,New Orleans Pelicans
Dereon,Seabron,G,New Orleans Pelicans
Garrett,Temple,G,
Jericho,Sims,B,New York Knicks
Isaiah,Roby,W,New York Knicks
Miles,McBride,G,New York Knicks
DaQuan,Jeffries,G,New York Knicks
Davis,Bertans,W,Oklahoma City Thunder
Kenrich,Williams,W,Oklahoma City Thunder
Isaiah,Joe,G,Oklahoma City Thunder
Lindy,Waters,G,Oklahoma City Thunder
Aaron,Wiggins,G,Oklahoma City Thunder
Goga,Bitadze,B,Orlando Magic
Chuma,Okeke,W,Orlando Magic
Admiral,Schofield,W,Orlando Magic
Michael,Carter-Williams,G,Orlando Magic
Caleb,Houstan,W,Orlando Magic
Kevon,Harris,G,Orlando Magic
Jaden,Springer,G,Philadelphia 76ers
Danuel,House,W,Philadelphia 76ers
Furkan,Korkmaz,G,Philadelphia 76ers
Isaiah,Todd,W,Memphis Grizzlies
Jordan,Goodwin,G,Phoenix Suns
Ish,Wainright,W,Phoenix Suns
Trendon,Watford,W,
Kevin,Knox,W,Portland Trail Blazers
Jabari,Walker,W,Portland Trail Blazers
Keon,Johnson,G,Portland Trail Blazers
Skylar,Mays,G,
Kessler,Edwards,W,Sacramento Kings
PJ,Dozier,G,
Charles,Bassey,B,San Antonio Spurs
Khem,Birch,B,San Antonio Spurs
Blake,Wesley,G,San Antonio Spurs
Christian,Koloko,B,Toronto Raptors
Thaddeus,Young,W,Toronto Raptors
Malachi,Flynn,G,Toronto Raptors
Otto,Porter,W,Toronto Raptors
Joe,Wieskamp,W,
Vernon,Carey,B,
Micah,Potter,B,Utah Jazz
Luka,Samanic,W,Utah Jazz
Kris,Dunn,G,Utah Jazz
Mike,Muscala,B,Washington Wizards
Anthony,Gill,W,Washington Wizards
Ryan,Rollins,G,Washington Wizards
Delon,Wright,G,Washington Wizards
Patrick,Baldwin,W,Washington Wizards
Landry,Shamet,G,Washington Wizards
Ike,Anigbogu,B,
Udoka,Azubuike,B,
James,Banks,B,
Aron,Baynes,B,
Jordan,Bell,B,
Bismack,Biyombo,B,
Marques,Bolden,B,
Tony,Bradley,B,
Amida,Brimah,B,
Willie,Cauley-Stein,B,
Moses,Brown,B,
Tyson,Chandler,B,
DeMarcus,Cousins,B,
Derek,Culver,B,
Dewayne,Dedmon,B,Philadelphia 76ers
Javin,DeLaurier,B,
Cheick,Diallo,B,
Gorgui,Dieng,B,
Khalifa,Diop,B,
Jaime,Echenique,B,
Drew,Eubanks,B,Phoenix Suns
Tacko,Fall,B,
Derrick,Favors,B,
Cristiano,Felicio,B,
Enes,Freedom,B,
Luka,Garza,B,Minnesota Timberwolves
Marc,Gasol,B,
Harry,Giles,B,
Romaro,Gill,B,
Johnny,Hamilton,B,
Jaxson,Hayes,B,Los Angeles Lakers
Dewan,Hernandez,B,
Aric,Holman,B,
Dwight,Howard,B,
Jay,Huff,B,Denver Nuggets
Ismael,Kamagate,B,
Frank,Kaminsky,B,
Balsa,Koprivica,B,
Jock,Landale,B,Houston Rockets
Alex,Len,B,Sacramento Kings
Meyers,Leonard,B,
Robin,Lopez,B,Milwaukee Bucks
Will,Magnay,B,
Ian,Mahinmi,B,
Thon,Maker,B,
Sandro,Mamukelashvili,B,San Antonio Spurs
Boban,Marjanovic,B,
Chimezie,Metu,B,Phoenix Suns
Greg,Monroe,B,
Joakim,Noah,B,
Nerlens,Noel,B,Sacramento Kings
Yannick,Nzosa,B,
Jahlil,Okafor,B,
Kyle,O'Quinn,B,
Daniel,Oturu,B,
Anzejs,Pasecniks,B,
Justin,Patton,B,
Norvel,Pelle,B,
Filip,Petrusev,B,Philadelphia 76ers
Vincent,Poirier,B,
Dwight,Powell,B,Dallas Mavericks
Neemias,Queta,B,
Orlando,Robinson,B,Miami Heat
Olivier,Sarr,B,
Jon,Teske,B,
Killian,Tillie,B,
Jeremiah,Tilmon,B,
Anderson,Varejao,B,
Moe,Wagner,B,Orlando Magic
Hassan,Whiteside,B,
Omer,Yurtseven,B,Utah Jazz
Cody,Zeller,B,New Orleans Pelicans
Tyler,Zeller,B,
Ante,Zizic,B,
Lamine,Diane,W,
Damien,Jefferson,W,
Theo,John,W,
Karlo,Matkovic,W,
Gui,Santos,W,
Dwayne,Sutton,W,
Jahlil,Tripp,W,
Hugo,Besson,G,
Michael,Devoe,G,
L.J.,Figueroa,G,
Bryce,Hamilton,G,
Iverson,Molinar,G,
Gabriele,Procida,G,
Matteo,Spagnolo,G,
Luke,Travers,G,
LaMarcus,Aldridge,W,
Kyle,Alexander,W,
Ryan,Anderson,W,
Kostas,Antetokounmpo,W,
Giorgi,Bezhanishvili,W,
Nemanja,Bjelica,W,
Tarik,Black,B,
Bennie,Boatwright,W,
Jarrell,Brantley,W,
Greg,Brown,W,
Devontae,Cacok,W,
Marquese,Chriss,W,
Tyler,Cook,W,
Petr,Cornelie,W,
Ed,Davis,W,
Gabriel,Deck,W,
Sam,Dekker,W,
Moussa,Diabate,W,Los Angeles Clippers
Mamadi,Diakite,W,
Sekou,Doumbouya,W,
Jared,Dudley,W,
Paul,Eboua,W,
Henry,Ellenson,W,
Malik,Fitts,W,
Michael,Foster,W,
Wenyen,Gabriel,W,
Taj,Gibson,B,Washington Wizards
Freddie,Gillespie,W,
JaMychal,Green,W,
Jeff,Green,W,Houston Rockets
Donta,Hall,W,
Udonis,Haslem,W,
John,Henson,W,
Juancho,Hernangomez,W,
Kevin,Hervey,W,
Mario,Hezonja,W,
Matthew,Hurt,W,
Amile,Jefferson,W,
Serge,Ibaka,W,
Ersan,Ilyasova,W,
Alize,Johnson,W,
James,Johnson,W,
Mfiondu,Kabengele,W,Boston Celtics
Skal,Labissiere,W,
Nicolo,Melli,W,
Trey,Lyles,W,Sacramento Kings
Luc,Mbah a Moute,W,
T.J.,Leaf,W,
Paul,Millsap,W,
EJ,Montgomery,W,
Juwan,Morgan,W,
Johnathan,Motley,W,
Markieff,Morris,W,
Trey,Mourning,W,
Georges,Niang,W,Cleveland Cavaliers
Semi,Ojeleye,W,
Johnny,O'Bryant,W,
KZ,Okpala,W,
Cameron,Oliver,W,
Tariq,Owens,W,
Jabari,Parker,W,
EJ,Onu,W,
Shareef,O'Neal,W,
Eric,Paschall,W,
Patrick,Patterson,W,
Reggie,Perry,W,
Jontay,Porter,W,
Taurean,Prince,W,Los Angeles Lakers
Mike,Scott,W,
Dario,Saric,W,Golden State Warriors
Tre,Scott,W,
Thabo,Sefolosha,W,
Simi,Shittu,W,
Chris,Silva,W,
Aamir,Simms,W,
Alen,Smailagic,W,
Ray,Spalding,W,
Chris,Smith,W,
Omari,Spellman,W,
Lamar,Stevens,W,
Emanuel,Terry,W,
Anthony,Tolliver,W,
Tristan,Thompson,W,
Kaleb,Wesson,W,
Greg,Whittington,W,
Johnathan,Williams,W,
Moses,Wright,W,
D.J.,Wilson,W,
Kenny,Wooten,W,
Jaylen,Adams,G,
Ryan,Arcidiacono,G,
D.J.,Augustin,G,
Dalano,Banton,G,Boston Celtics
Buddy,Boeheim,G,
Jordan,Bone,G,
J.J.,Barea,G,
Anthony,Barber,G,
Eric,Bledsoe,G,
Jamaree,Bouyea,G,Miami Heat
Ky,Bowman,G,
Armoni,Brooks,G,
Shaq,Buchanan,G,
Trey,Burke,G,
Jordan,Burns,G,
Facundo,Campazzo,G,
Devin,Cannady,G,
Ahmad,Caver,G,
Mario,Chalmers,G,
Kennedy,Chandler,G,
Tony,Carr,G,
Joe,Chealey,G,
Darren,Collison,G,
Matt,Coleman,G,
Chris,Chiozza,G,
Quinn,Cook,G,
Sharife,Cooper,G,
Jalen,Crutcher,G,
Devon,Dotson,G,
Matthew,Dellavedova,G,
JD,Davison,G,Boston Celtics
Jeff,Dowtin,G,
Goran,Dragic,G,
Tyson,Etienne,G,
Dante,Exum,G,Dallas Mavericks
Yogi,Ferrell,G,
Collin,Gillespie,G,Denver Nuggets
Jordan,Ford,G,
